iter	Passed	Remaining
664	1013	510
665	1014	508
666	1015	507
667	1017	505
668	1018	504
669	1020	502
670	1021	501
671	1023	499
672	1024	497
673	1026	496
674	1027	494
675	1028	493
676	1029	491
677	1031	489
678	1032	488
679	1033	486
680	1034	484
681	1035	482
682	1037	481
683	1038	479
684	1039	477
685	1040	476
686	1041	474
687	1043	473
688	1044	471
689	1045	469
690	1047	468
691	1048	466
692	1050	465
693	1051	463
694	1052	461
695	1053	460
696	1055	458
697	1056	457
698	1057	455
699	1058	453
700	1060	452
701	1061	450
702	1062	448
703	1063	447
704	1065	445
705	1065	443
706	1067	442
707	1068	440
708	1069	439
709	1070	437
710	1072	435
711	1073	434
712	1075	432
713	1076	431
714	1077	429
715	1078	427
716	1080	426
717	1081	424
718	1082	423
719	1083	421
720	1084	419
721	1086	418
722	1087	416
723	1088	415
724	1089	413
725	1091	411
726	1092	410
727	1093	408
728	1095	407
729	1096	405
730	1098	404
731	1099	402
732	1100	400
733	1101	399
734	1103	397
735	1104	396
736	1105	394
737	1106	392
738	1108	391
739	1109	389
740	1110	388
741	1112	386
742	1113	385
743	1114	383
744	1115	381
745	1117	380
746	1118	378
747	1120	377
748	1121	375
749	1122	374
750	1123	372
751	1125	371
752	1126	369
753	1127	367
754	1128	366
755	1130	364
756	1131	363
757	1132	361
758	1133	360
759	1135	358
760	1136	356
761	1137	355
762	1138	353
763	1140	352
764	1141	350
765	1142	349
766	1144	347
767	1145	346
768	1147	344
769	1148	343
770	1149	341
771	1150	339
772	1152	338
773	1153	336
774	1154	335
775	1156	333
776	1157	332
777	1158	330
778	1160	329
779	1161	327
780	1162	326
781	1164	324
782	1165	322
783	1166	321
784	1167	319
785	1169	318
786	1170	316
787	1171	315
788	1173	313
789	1174	312
790	1176	310
791	1177	309
792	1178	307
793	1180	306
794	1181	304
795	1182	303
796	1183	301
797	1185	300
798	1186	298
799	1187	296
800	1189	295
801	1190	293
802	1191	292
803	1193	290
804	1194	289
805	1195	287
806	1196	286
807	1198	284
808	1199	283
809	1200	281
810	1202	280
811	1203	278
812	1204	277
813	1205	275
814	1206	273
815	1208	272
816	1209	270
817	1210	269
818	1211	267
819	1213	266
820	1214	264
821	1215	263
822	1217	261
823	1218	260
824	1219	258
825	1220	257
826	1222	255
827	1223	254
828	1224	252
829	1225	251
830	1227	249
831	1228	248
832	1229	246
833	1231	245
834	1233	243
835	1234	242
836	1235	240
837	1236	239
838	1238	237
839	1239	236
840	1240	234
841	1242	233
842	1243	231
843	1244	230
844	1246	228
845	1247	227
846	1248	225
847	1249	224
848	1251	222
849	1252	221
850	1253	219
851	1254	217
852	1256	216
853	1257	214
854	1258	213
855	1260	211
856	1261	210
857	1262	208
858	1263	207
859	1265	205
860	1266	204
861	1267	202
862	1268	201
863	1270	199
864	1271	198
865	1272	196
866	1274	195
867	1275	193
868	1276	192
869	1278	191
870	1279	189
871	1281	188
872	1282	186
873	1283	185
874	1284	183
875	1285	182
876	1287	180
877	1288	179
878	1289	177
879	1291	176
880	1292	174
881	1293	173
882	1294	171
883	1296	170
884	1297	168
885	1298	167
886	1299	165
887	1301	164
888	1302	162
889	1303	161
890	1305	159
891	1306	158
892	1307	156
893	1309	155
894	1310	153
895	1311	152
896	1312	150
897	1314	149
898	1315	147
899	1316	146
900	1317	144
901	1319	143
902	1320	141
903	1321	140
904	1323	138
905	1324	137
906	1325	135
907	1326	134
908	1328	132
909	1329	131
910	1330	129
911	1331	128
912	1332	126
913	1333	125
914	1335	124
915	1336	122
916	1338	121
917	1339	119
918	1340	118
919	1341	116
920	1343	115
921	1344	113
922	1345	112
923	1346	110
924	1348	109
925	1349	107
926	1351	106
927	1352	104
928	1353	103
929	1354	101
930	1356	100
931	1357	99
932	1358	97
933	1359	96
934	1360	94
935	1362	93
936	1363	91
937	1364	90
938	1366	88
939	1367	87
940	1368	85
941	1369	84
942	1370	82
943	1372	81
944	1373	79
945	1375	78
946	1376	77
947	1378	75
948	1379	74
949	1381	72
950	1382	71
951	1383	69
952	1385	68
953	1386	66
954	1387	65
955	1388	63
956	1390	62
957	1391	61
958	1392	59
959	1393	58
960	1395	56
961	1396	55
962	1397	53
963	1399	52
964	1400	50
965	1401	49
966	1402	47
967	1403	46
968	1405	44
969	1406	43
970	1407	42
971	1408	40
972	1409	39
973	1411	37
974	1412	36
975	1413	34
976	1414	33
977	1415	31
978	1417	30
979	1418	28
980	1419	27
981	1420	26
982	1421	24
983	1423	23
984	1424	21
985	1425	20
986	1427	18
987	1428	17
988	1429	15
989	1430	14
990	1431	13
991	1432	11
992	1434	10
993	1435	8
994	1436	7
995	1437	5
996	1438	4
997	1440	2
998	1441	1
999	1442	0
